year,month,average,max,min
1997,Jan,17,26,3
1997,Feb,17,26,6
1997,Mar,20,28,8
1997,Apr,23,29,12
1997,May,26,32,14
1997,Jun,27,32,19
1997,July,28,35,23
1997,Aug,29,37,24
1997,Sep,27,33,20
1997,Oct,26,32,16
1997,Nov,24,31,9
1997,Dec,19,27,5
1998,Jan,17,27,3
1998,Feb,17,27,6
1998,Mar,19,29,8
1998,Apr,25,33,12
1998,May,27,33,14
1998,Jun,28,33,19
1998,July,30,34,23
1998,Aug,30,35,24
1998,Sep,28,34,20
1998,Oct,26,33,16
1998,Nov,23,30,9
1998,Dec,19,28,5
1999,Jan,17,26,3
1999,Feb,19,28,6
1999,Mar,20,31,8
1999,Apr,25,32,12
1999,May,25,32,14
1999,Jun,29,35,19
1999,July,30,35,23
1999,Aug,29,36,24
1999,Sep,28,34,20
1999,Oct,27,33,16
1999,Nov,22,29,9
1999,Dec,16,24,5
2000,Jan,17,25,3
2000,Feb,16,25,6
2000,Mar,23,28,8
2000,Apr,23,29,12
2000,May,27,33,14
2000,Jun,28,34,19
2000,July,30,35,23
2000,Aug,28,35,24
2000,Sep,28,33,20
2000,Oct,26,33,16
2000,Nov,21,28,9
2000,Dec,19,26,5
2001,Jan,17,25,3
2001,Feb,17,27,6
2001,Mar,21,29,8
2001,Apr,23,33,12
2001,May,27,33,14
2001,Jun,28,35,19
2001,July,29,34,23
2001,Aug,30,35,24
2001,Sep,29,34,20
2001,Oct,27,33,16
2001,Nov,21,30,9
2001,Dec,18,29,5
2002,Jan,17,26,3
2002,Feb,19,26,6
2002,Mar,22,28,8
2002,Apr,25,33,12
2002,May,28,34,14
2002,Jun,29,35,19
2002,July,29,35,23
2002,Aug,29,35,24
2002,Sep,27,34,20
2002,Oct,25,31,16
2002,Nov,21,29,9
2002,Dec,18,29,5
2003,Jan,16,25,3
2003,Feb,19,27,6
2003,Mar,20,28,8
2003,Apr,25,32,12
2003,May,28,33,14
2003,Jun,28,34,19
2003,July,30,35,23
2003,Aug,29,35,24
2003,Sep,28,34,20
2003,Oct,26,32,16
2003,Nov,22,33,9
2003,Dec,17,27,5
2004,Jan,16,24,3
2004,Feb,17,26,6
2004,Mar,20,27,8
2004,Apr,24,32,12
2004,May,27,33,14
2004,Jun,30,36,19
2004,July,29,37,23
2004,Aug,29,36,24
2004,Sep,28,34,20
2004,Oct,25,32,16
2004,Nov,23,29,9
2004,Dec,19,27,5
2005,Jan,15,24,3
2005,Feb,16,26,6
2005,Mar,18,28,8
2005,Apr,23,30,12
2005,May,27,32,14
2005,Jun,28,34,19
2005,July,29,37,23
2005,Aug,29,34,24
2005,Sep,29,35,20
2005,Oct,27,34,16
2005,Nov,24,31,9
2005,Dec,17,26,5
2006,Jan,17,26,3
2006,Feb,18,26,6
2006,Mar,19,28,8
2006,Apr,25,33,12
2006,May,26,33,14
2006,Jun,28,35,19
2006,July,30,37,23
2006,Aug,29,34,24
2006,Sep,27,34,20
2006,Oct,27,32,16
2006,Nov,24,31,9
2006,Dec,18,29,5
2007,Jan,16,24,3
2007,Feb,20,26,6
2007,Mar,21,30,8
2007,Apr,22,31,12
2007,May,27,34,14
2007,Jun,29,35,19
2007,July,30,35,23
2007,Aug,29,35,24
2007,Sep,29,34,20
2007,Oct,27,33,16
2007,Nov,21,29,9
2007,Dec,20,27,5
2008,Jan,15,27,3
2008,Feb,13,21,6
2008,Mar,21,28,8
2008,Apr,24,31,12
2008,May,26,33,14
2008,Jun,27,34,19
2008,July,29,36,23
2008,Aug,29,34,24
2008,Sep,29,35,20
2008,Oct,27,32,16
2008,Nov,22,31,9
2008,Dec,18,27,5
2009,Jan,15,25,3
2009,Feb,22,29,6
2009,Mar,20,29,8
2009,Apr,23,30,12
2009,May,26,33,14
2009,Jun,29,34,19
2009,July,30,35,23
2009,Aug,30,36,24
2009,Sep,30,35,20
2009,Oct,27,33,16
2009,Nov,20,32,9
2009,Dec,17,25,5
2010,Jan,17,26,3
2010,Feb,18,29,6
2010,Mar,21,29,8
2010,Apr,22,29,12
2010,May,27,32,14
2010,Jun,28,34,19
2010,July,30,36,23
2010,Aug,30,35,24
2010,Sep,28,35,20
2010,Oct,25,34,16
2010,Nov,22,28,9
2010,Dec,18,28,5
2011,Jan,13,18,3
2011,Feb,16,28,6
2011,Mar,18,28,8
2011,Apr,24,31,12
2011,May,26,33,14
2011,Jun,29,36,19
2011,July,30,36,23
2011,Aug,30,36,24
2011,Sep,29,35,20
2011,Oct,25,31,16
2011,Nov,24,32,9
2011,Dec,17,25,5
2012,Jan,14,23,3
2012,Feb,16,27,6
2012,Mar,20,30,8
2012,Apr,25,31,12
2012,May,28,34,14
2012,Jun,29,34,19
2012,July,29,36,23
2012,Aug,30,36,24
2012,Sep,29,34,20
2012,Oct,26,31,16
2012,Nov,22,30,9
2012,Dec,18,27,5
2013,Jan,17,25,3
2013,Feb,19,27,6
2013,Mar,21,30,8
2013,Apr,22,31,12
2013,May,26,34,14
2013,Jun,29,36,19
2013,July,29,35,23
2013,Aug,29,34,24
2013,Sep,28,34,20
2013,Oct,26,32,16
2013,Nov,22,31,9
2013,Dec,16,25,5
2014,Jan,17,25,3
2014,Feb,16,26,6
2014,Mar,19,29,8
2014,Apr,24,30,12
2014,May,27,34,14
2014,Jun,30,36,19
2014,July,30,35,23
2014,Aug,30,36,24
2014,Sep,30,35,20
2014,Oct,27,35,16
2014,Nov,23,30,9
2014,Dec,16,26,5
2015,Jan,17,25,3
2015,Feb,18,28,6
2015,Mar,21,29,8
2015,Apr,24,32,12
2015,May,28,34,14
2015,Jun,30,36,19
2015,July,30,35,23
2015,Aug,30,37,24
2015,Sep,29,34,20
2015,Oct,26,33,16
2015,Nov,25,31,9
2015,Dec,18,28,5
2016,Jan,16,25,3
2016,Feb,15,28,6
2016,Mar,18,27,8
2016,Apr,25,30,12
2016,May,28,33,14
2016,Jun,30,36,19
2016,July,30,36,23
2016,Aug,29,35,24
2016,Sep,29,35,20
2016,Oct,27,32,16
2016,Nov,22,31,9
2016,Dec,20,27,5
2017,Jan,19,27,3
2017,Feb,17,26,6
2017,Mar,20,27,8
2017,Apr,24,31,12
2017,May,26,33,14
2017,Jun,30,35,19
2017,July,30,37,23
2017,Aug,30,37,24
2017,Sep,30,35,20
2017,Oct,27,35,16